datetime,price_usd,price_gram_24k,price_gram_22k,price_gram_21k,change_percent
2026-06-14 05:36:01.017215,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 05:38:03.520202,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 05:40:02.348188,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 05:42:01.006513,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 05:44:05.218032,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 05:46:00.710062,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 05:48:03.781482,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 05:50:02.916939,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 05:52:04.675209,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 05:54:01.123228,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 05:56:01.247332,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 05:58:00.636906,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 06:00:01.017285,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 07:24:00.793601,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 07:26:00.588614,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 07:28:00.556782,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 07:28:16.101917,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 07:34:00.763336,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 07:36:01.090553,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 07:38:00.764812,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:00:01.419813,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:00:11.082573,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:06:38.973491,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:08:00.702378,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:12:33.901697,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:14:00.425365,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:16:01.182649,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:19:49.811042,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:20:00.960100,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:22:00.602264,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:22:23.330310,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:24:00.262954,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:28:01.038622,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:29:35.222967,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:30:00.720636,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:32:01.232199,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:34:00.512765,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:36:00.573231,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:38:00.651106,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:38:52.352673,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:40:48.399758,4219.395,135.6567,124.352,118.6996,0.17
